Verb_Noun_Pair,Category,Tier,Domain
accelerate ability,Bridge,2,Market & Growth
accelerate adoption,Bridge,2,Market & Growth
accelerate growth,Bridge,2,Market & Growth
accelerate progress,Bridge,1,Market & Growth
accelerate success,Bridge,2,Market & Growth
achieve goal,Bridge,2,Narrative & Brand
achieve more,Bridge,2,Narrative & Brand
advance goal,Bridge,2,Partnership & Deal
advise customer,Bridge,2,Narrative & Brand
align isv,Bridge,2,Partnership & Deal
align stakeholder,Bridge,2,Partnership & Deal
align strategy,Bridge,2,Partnership & Deal
anticipate challenge,Bridge,1,Partnership & Deal
anticipate gap,Bridge,2,Narrative & Brand
articulate value,Bridge,1,Narrative & Brand
break barrier,Bridge,2,Market & Growth
build capability,Bridge,1,Market & Growth
build community,Bridge,2,Narrative & Brand
build company,Bridge,2,Partnership & Deal
build ecosystem,Bridge,1,Partnership & Deal
build mindshare,Bridge,1,Narrative & Brand
build network,Bridge,2,Partnership & Deal
build program,Bridge,2,Market & Growth
build software,Bridge,2,Market & Growth
build strategy,Bridge,1,Market & Growth
build technology,Bridge,2,Market & Growth
build trust,Bridge,2,Narrative & Brand
capture value,Bridge,2,Narrative & Brand
close deal,Bridge,1,Partnership & Deal
coach executive,Bridge,2,Market & Growth
coach other,Bridge,2,Market & Growth
coach team,Bridge,2,Market & Growth
communicate proposition,Bridge,1,Narrative & Brand
craft narrative,Bridge,2,Narrative & Brand
craft presentation,Bridge,2,Narrative & Brand
craft story,Bridge,1,Narrative & Brand
create culture,Bridge,2,Narrative & Brand
create framework,Bridge,2,Narrative & Brand
create future,Bridge,2,Narrative & Brand
create plan,Bridge,2,Market & Growth
create platform,Bridge,1,Market & Growth
create process,Bridge,2,Market & Growth
create prototype,Bridge,1,Market & Growth
create software,Bridge,1,Market & Growth
create solution,Bridge,2,Market & Growth
cultivate relationship,Bridge,2,Narrative & Brand
define strategy,Bridge,1,Market & Growth
deliver engagement,Bridge,2,Narrative & Brand
deliver success,Bridge,2,Partnership & Deal
develop content,Bridge,1,Narrative & Brand
develop environment,Bridge,2,Narrative & Brand
develop insight,Bridge,2,Narrative & Brand
develop narrative,Bridge,2,Narrative & Brand
develop plan,Bridge,2,Market & Growth
develop Platform,Bridge,1,Market & Growth
develop roadmap,Bridge,1,Market & Growth
develop software,Bridge,3,Market & Growth
diverse audience,Bridge,2,Narrative & Brand
drive activity,Bridge,2,Market & Growth
drive awareness,Bridge,1,Narrative & Brand
drive change,Bridge,2,Narrative & Brand
drive closure,Bridge,2,Partnership & Deal
drive consumption,Bridge,2,Narrative & Brand
drive creation,Bridge,2,Market & Growth
drive decision,Bridge,2,Market & Growth
drive efficiency,Bridge,2,Market & Growth
drive effort,Bridge,2,Market & Growth
drive engagement,Bridge,2,Narrative & Brand
drive excellence,Bridge,2,Narrative & Brand
drive innovation,Bridge,1,Narrative & Brand
drive launch,Bridge,2,Market & Growth
drive opportunity,Bridge,2,Market & Growth
drive outcome,Bridge,2,Narrative & Brand
drive partnership,Bridge,2,Partnership & Deal
drive rigor,Bridge,2,Market & Growth
drive scale,Bridge,2,Market & Growth
drive success,Bridge,2,Market & Growth
drive they,Bridge,1,Market & Growth
educate customer,Bridge,2,Partnership & Deal
embody value,Bridge,2,Narrative & Brand
empower other,Bridge,2,Narrative & Brand
empower person,Bridge,2,Narrative & Brand
empower team,Bridge,2,Narrative & Brand
enable everyone,Bridge,2,Narrative & Brand
enable growth,Bridge,2,Narrative & Brand
enable member,Bridge,2,Narrative & Brand
enable solution,Bridge,1,Narrative & Brand
enable they,Bridge,2,Narrative & Brand
engage stakeholder,Bridge,2,Partnership & Deal
establish credibility,Bridge,2,Narrative & Brand
execute plan,Bridge,1,Market & Growth
expand presence,Bridge,1,Narrative & Brand
expand relationship,Bridge,2,Partnership & Deal
explore business,Bridge,1,Market & Growth
explore way,Bridge,1,Market & Growth
gather feedback,Bridge,1,Market & Growth
get benefit,Bridge,3,Partnership & Deal
grow practice,Bridge,2,Market & Growth
guide business,Bridge,2,Market & Growth
guide customer,Bridge,1,Narrative & Brand
guide other,Bridge,2,Narrative & Brand
identify area,Bridge,2,Market & Growth
identify trend,Bridge,1,Market & Growth
implement strategy,Bridge,2,Market & Growth
implement system,Bridge,2,Market & Growth
improve experience,Bridge,2,Market & Growth
improve outcome,Bridge,2,Market & Growth
increase satisfaction,Bridge,3,Narrative & Brand
influence decision,Bridge,2,Narrative & Brand
influence product,Bridge,2,Narrative & Brand
influence roadmap,Bridge,2,Narrative & Brand
influence skill,Bridge,1,Narrative & Brand
inform development,Bridge,1,Narrative & Brand
inform strategy,Bridge,2,Narrative & Brand
initiate conversation,Bridge,2,Narrative & Brand
innovate method,Bridge,2,Market & Growth
inspire customer,Bridge,1,Narrative & Brand
inspire employee,Bridge,2,Narrative & Brand
involve partnership,Bridge,2,Partnership & Deal
involve technology,Bridge,2,Market & Growth
launch business,Bridge,2,Market & Growth
lead conversation,Bridge,2,Narrative & Brand
lead development,Bridge,2,Market & Growth
lead direction,Bridge,2,Narrative & Brand
lead engagement,Bridge,2,Narrative & Brand
lead launch,Bridge,1,Market & Growth
lead planning,Bridge,2,Market & Growth
lead strategy,Bridge,1,Market & Growth
leverage expertise,Bridge,2,Partnership & Deal
leverage insight,Bridge,1,Partnership & Deal
leverage knowledge,Bridge,1,Partnership & Deal
leverage relationship,Bridge,2,Partnership & Deal
leverage technology,Bridge,2,Partnership & Deal
leverage understanding,Bridge,2,Partnership & Deal
manage business,Bridge,2,Market & Growth
manage manager,Bridge,2,Market & Growth
manage relationship,Bridge,2,Market & Growth
manage risk,Bridge,2,Market & Growth
manage year,Bridge,1,Market & Growth
measure success,Bridge,2,Narrative & Brand
meet team,Bridge,2,Narrative & Brand
mitigate blocker,Bridge,2,Market & Growth
modernize function,Bridge,1,Market & Growth
move world,Bridge,1,Narrative & Brand
negotiate agreement,Bridge,2,Partnership & Deal
negotiate deal,Bridge,1,Partnership & Deal
nurture relationship,Bridge,2,Partnership & Deal
optimize innovation,Bridge,2,Market & Growth
position ourselves,Bridge,2,Market & Growth
power mission,Bridge,1,Narrative & Brand
power world,Bridge,1,Narrative & Brand
prepare customer,Bridge,1,Narrative & Brand
prioritize initiative,Bridge,2,Market & Growth
prove standard,Bridge,2,Narrative & Brand
provide analysis,Bridge,2,Market & Growth
provide experience,Bridge,2,Market & Growth
provide guidance,Bridge,2,Market & Growth
provide leadership,Bridge,1,Market & Growth
provide platform,Bridge,1,Market & Growth
provide value,Bridge,2,Market & Growth
push business,Bridge,2,Market & Growth
raise bar,Bridge,1,Narrative & Brand
reach consumer,Bridge,1,Narrative & Brand
reach potential,Bridge,2,Market & Growth
realize goal,Bridge,2,Market & Growth
recognize need,Bridge,1,Narrative & Brand
reflect commitment,Bridge,1,Narrative & Brand
reflect salary,Bridge,2,Market & Growth
reimagine way,Bridge,1,Market & Growth
represent range,Bridge,3,Narrative & Brand
represent voice,Bridge,2,Narrative & Brand
roll sleeve,Bridge,2,Market & Growth
scale alliance,Bridge,2,Market & Growth
scale model,Bridge,2,Market & Growth
scale practice,Bridge,2,Market & Growth
scale program,Bridge,2,Market & Growth
scale team,Bridge,2,Market & Growth
sell engagement,Bridge,2,Partnership & Deal
serve organization,Bridge,3,Market & Growth
set foundation,Bridge,2,Market & Growth
set strategy,Bridge,1,Market & Growth
set vision,Bridge,2,Market & Growth
shape strategy,Bridge,2,Narrative & Brand
share idea,Bridge,1,Narrative & Brand
share location,Bridge,2,Narrative & Brand
share more,Bridge,1,Narrative & Brand
share practice,Bridge,2,Narrative & Brand
solve issue,Bridge,2,Narrative & Brand
streamline workflow,Bridge,1,Market & Growth
structure opportunity,Bridge,1,Market & Growth
supply insight,Bridge,1,Market & Growth
transform business,Bridge,1,Market & Growth
transform idea,Bridge,2,Market & Growth
translate capability,Bridge,1,Market & Growth
translate concept,Bridge,2,Narrative & Brand
translate design,Bridge,2,Market & Growth
translate idea,Bridge,1,Market & Growth
translate insight,Bridge,1,Market & Growth
translate problem,Bridge,1,Market & Growth
translate topic,Bridge,1,Market & Growth
treat candidate,Bridge,2,Narrative & Brand
turn innovation,Bridge,1,Market & Growth
turn insight,Bridge,2,Market & Growth
unite team,Bridge,2,Narrative & Brand